Nome,User El dorado,tiktok @,Pais,Owner,telefone
rosasmariana2,1909,rosasmariana2,argentina,alejandra,null
santiagoamatfinanzas,4224559,santiagoamatfinanzas,argentina,bianca,null
2ombie.girl,2ombiegirl,2ombie.girl,colombia,camilo,null
abogadodegenerado,abogdodegenerado,abogadodegenerado,colombia,camilo,null
camy.aguiarmed,acamyaguiar02,camy.aguiarmed,paraguay,alejandra,null
finanzasenlaluna,activosdig1,finanzasenlaluna,colombia,camilo,null
adrian.aramayo,adrianmanfredo,adrian.aramayo,bolivia,alejandra,null
alee.doliver,aleedoliver,alee.doliver,brasil,alessandro,null
amandinhaporai,amandinhaporai,amandinhaporai,brasil,alessandro,null
andyfloresbo,andyfloresbo,andyfloresbo,brasil,samuel,null
annadebuenas,annaalves,annadebuenas,brasil,alessandro,null
arsac944,arsac,arsac944,bolivia,camilo,null
aventuresecomigo,aventuresecomigo,aventuresecomigo,paraguay,julia,null
barbaraarcee,barbaraarce,barbaraarcee,brasil,alessandro,null
abelenmendezm,belenmendezm,abelenmendezm,bolivia,alejandra,null
bigbrunoz,bigbrunoz,bigbrunoz,brasil,alessandro,null
brunooemanuel,brunooemanuel,brunooemanuel,argentina,alejandra,null
cadumpa,cadumpa,cadumpa,brasil,samuel,null
bycahcarval,cahcarval,bycahcarval,brasil,julia,null
camifonsecan,camiona,camifonsecan,colombia,camilo,null
clanbursatil,caramagof13,clanbursatil,colombia,camilo,null
carolinedutra1,caroline13dutra,carolinedutra1,paraguay,julia,null
castroguayo,castroguayo,castroguayo,paraguay,alejandra,null
danielcaceres.pe,cfinancieramente,danielcaceres.pe,peru,camilo,null
tipicodelacosta,chande24,tipicodelacosta,colombia,camilo,null
latoxicostena_17,cindyavila,latoxicostena_17,colombia,camilo,null
criptopepe,criptopepe1,criptopepe,bolivia,alejandra,null
crissemprende,criss27,crissemprende,bolivia,alejandra,null
el.palaa4,danielm1108,el.palaa4,colombia,camilo,null
danielvergel_,danielvergel_29,danielvergel_,colombia,camilo,null
daygonxd,Daygon,daygonxd,bolivia,alejandra,null
denisdelcarpio.mov,denisdelcarpio,denisdelcarpio.mov,bolivia,alejandra,null
dimelonegritow,dimelonegrito,dimelonegritow,colombia,camilo,null
doctortradingpe,doctortrading,doctortradingpe,peru,camilo,null
druell_,druell_,druell_,brasil,julia,null
sergio_el_waso,drushva,sergio_el_waso,bolivia,alejandra,null
twinbrothersco,dsdavidsanchez,twinbrothersco,colombia,camilo,null
